date,comment,sentiment
01/01/2015,chezea songesha wew tovuti ffnssikzgu,Positive
01/01/2015,tafuta hela usilalamikie mabadiliko vifurushi telecom3,Positive
01/01/2015,mtandao telecom1 una tatizo simu siku tatu leo mambo hayasongi vizuri,Negative
02/01/2015,daktariwawatoto tamtam bando kuinunulia mpk tpesa,Positive
02/01/2015,telecom2 imranhussein84 tatizo kifurushi internet nw akikai awali una weka bando mwezi matumizi kawaida uwingi instagram uwingi youtube unat2mia ata week ujamaliza kweli sijapenda,Negative
02/01/2015,telecom2 jamani telecom4 nashindwa kuwasiliana wazaz wangu toka ijumaa hebu rudisheni vifurushi zamani mnamdharau raisi maagizo,Negative
03/01/2015,telecom1 mnazingua tokea juzi maeneo kibaha simu ilikua 4g saivi inasoma e mmelewewa,Negative
03/01/2015,telecom3 telecom3 mtandao nafuu uliobakia intaneti mwendo konokono,Negative
03/01/2015,asubuhi telecom1 nina tatizo sim card imeandikwa 4g sipati hio 4g msaada wenu muhimu,Neutral
04/01/2015,bonasi dk kukosa jiunge royal kupiga telecom5 royal tovuti x3quzoj8ob,Neutral
04/01/2015,telecom5 kimeo kuanzia internet had huduma kawaida,Negative
04/01/2015,mrinagodwin1 tuna vifurushi ofa saizi yako,Neutral
05/01/2015,al habiiby habari al habiiby tufahamishe unatumia app telecom1pesa,Neutral
05/01/2015,bob mchelsea bob mchelsea hivii buku m pesa sawa buku telecom4 maana nkiwa buku holopesa najiamini hataree,Positive
05/01/2015,babalao telecom1 bora nimrudie x wangu kuliko kutumia mtandao telecom1,Negative
06/01/2015,telecom2 telecom4 du nimeamua kuchukua maamuz magumu kuwahama kujiunga vifurushi dk nimeamua kuhamia ttcl,Negative
06/01/2015,telecom5tz nimebadilisha line nkapewa 4g namba ile ile huduma telecom4 haipo inasema iko locked shida ninini,Neutral
06/01/2015,jizwalo telecom2 ngo_1 marekamalili mbona nimejiunga bando internet mwezi mzma nmelipia elfu hamsini halaf mmenipunguzia speed wizi telecom4 week tatu mkipigiwa simu hampokei nirudishieni speed internet haraka,Negative
07/01/2015,iamfeisalsalum telecom1 mtandao mchongo hamna kitu,Negative
07/01/2015,histoneexm utapata bonus asubuhi ukijiunga vifurushi intaneti dakika combo vifurushi mkopo niwezeshe tovuti gqtmv2vw9q,Neutral
07/01/2015,telecom3 hildanewton21 tatizo mtandao uko san inasababisha ulaji mb tunaomba mrekebishe 4g yena naona km ako sawa,Negative
08/01/2015,telecom1 sms mbona haziendi its almost half an hour ule mtandao rangi nyekundu zinaenda kirahisi mtu anakula karanga,Negative
08/01/2015,telecom2 roz2bbs telecom4 mna vifurushi ujanja ujanja uhuni kumubana mteja hamfai kabisa,Negative
08/01/2015,telecom2 telecom2 acheni uongo hakuna mtandao super wala yaani nashangaa interneti yenu inasoma e telecom1 tzz inasoma 4g alafu mnakuja kutudanganya mtandaoni,Negative
09/01/2015,telecom3 ngo_1 telecom3 vifurushi zamani hamjarudisha vifurushi vipya kabisa bado mnatunyonya aisee tunaomba mama yetu suluhusamia awatazame telecom3 this is not fair at all gharama tovuti t3zfql2bju,Negative
09/01/2015,telecom1 yani kiufupi inasoma h sometime mpaka e ikiwa 4g mfano iko 4g nikifungua baazi website hazifunguki yes ndio number,Negative
09/01/2015,ipo boss kupitia telecom4 tovuti ozsbu27izp,Neutral
10/01/2015,telecom1 hakuna 4g kabisa mpaka niende uwanja mpira kweli,Negative
10/01/2015,jamesjo22278062 tunapenda kukujulisha tumefanya maboresho vifurushi vyetu ambapo bado utaweza kupata vifurushi vyenye ujazo tofauti tofauti kulingana thamani pesa yako bonyeza ok chagua kifurushi chako pendwa,Neutral
10/01/2015,telecom1 unawezaje kumsaidia mtu ambaye umemtapeli mnataka kunitapeli hamkomi soon tutakutana mahakamani tuonyeshane makali kifurushi week kinakaa masaa mawili kudadeq,Negative
11/01/2015,telecom1 nilikuwa naomba msaada namna kuset internet lg risio nimesoma specification nimeona inauwezo 4g,Neutral
11/01/2015,telecom2 mbn songesha laini naifanyia miamala lkn siwez kusonvesha buku hyo songesha niyamchongo,Negative
11/01/2015,telecom3 mbona vifurushi vyenu vimekuwa hovyo saaan vinaisha haraka saaaana yaani mbs utazani mb mbona hamkuwa huko nyuma telecom3 fazoboya,Negative
12/01/2015,masoudkipanya kumbe maji nayo tulipia kwama vifurushi vingine sas hali itaisha lini tovuti g371e6xkpw,Negative
12/01/2015,telecom2 cloudsmedialive efmtanzania wasafifm hakika kitu hatua kwel hatua telecom2 mmeifanya rasmi sas tunaendesha mtandao kasi 5g,Positive
12/01/2015,telecom1 mtandao wenu unashida gani upande internet,Negative
13/01/2015,watumiaji mtandao telecom1 limewakuta hili lilotokea bahati mbaya embu tuambizane wanafamilia http g9y734s710,Negative
13/01/2015,telecom1 mtu asipotumia huduma telecom1pesa laini inafungiwa,Neutral
13/01/2015,telecom1 iv kwann telecom1 hawana sms kutuma ukiukza salio kuhusu vifurush vyako wnashda gan iv,Negative
14/01/2015,telecom3 samahani wapendwa hiv inawezekanaje mtu kushwap laini mtu anaitumia,Neutral
14/01/2015,mtandao intaneti wakatika mkutano kimataifa mawasiliano mawasiliano mtandao tovut http wj2fd9bo,Negative
14/01/2015,telecom3 artel upumbavu mnaotufanyia bora kuvunja laini sioni umuhimu mtandao yan mb miatano dakika liwe limeisha mko serious mnajua pesa tunaokota,Negative
15/01/2015,telecom1 telecom1 saizi yako mnasema kipo juzi nmeunga meseji wiki zinakuwa sms notification yakunilimbwasaa mukanitumia ilipofika jioni naambiwa msg not delivered mkanitofy sina msg kabisaa menifanya nimetukana mbele mama,Negative
15/01/2015,telecom3 kingkon64202821 telecom3 hatuichagui tunahamia telecom3,Neutral
15/01/2015,telecom3l mtandao kifamba nwdayz hauna tofauti telecom1 i promise kuwahama as soon as i register my telecom3chip,Negative
16/01/2015,makato hayaa telecom2 naomba nijitoe rasmi huduma yenu songesha tovuti gvrihvggjq,Negative
16/01/2015,iamartin telecom1 ngo_1 suluhusamia nnauye nape jana nimenunua vifurushi viwili youtube kimoja mb600 wakanitumia ujumbe wamenipa mb kifurushi kimoja hivo jana wameniibia mb300,Negative
16/01/2015,buddy wailer olemtetezi nnauye nape ngo_1 telecom2 telecom1 hao airetel nao kifurushi 1k ukitaka mb500 dakika wameondoa dakika zote wamepeleka wapi,Negative
17/01/2015,telecom1 mmekuwa utaratibu kututumia jumbe mfano siku sikukuu huwa mnatutakia kheri kitu gani kinawafanya msitutumie jumbe vifurushi vimepanda bei ile package mmepunguza,Negative
17/01/2015,telecom1 hajaelewa swali lake yani hakuna option app kutoa pesa kibubu kuja telecom1pesa,Neutral
17/01/2015,baebucci ah wapi ntakakopea songesha,Neutral
18/01/2015,nnauye nape acheni wizi wazi wazi wazi mnawadhulumu watanzania saiv naona unatafuta hela uchaguzi nguvu unatoa maelekezo makapuni simu wanatupandishia vifurushi alaf baadhi pesa zinaingia mfukoni mwako magufuri marehemu akukosea kukuweka pembeni,Negative
18/01/2015,mteja ananunua credit ttcl kupitia mtandao telecom1 tovuti lkkgnfjvff,Neutral
18/01/2015,telecom1 neti ina soma 4g ovyo kabisa yani,Negative
19/01/2015,telecom1 ina kas ndogo 4g lkn huwez kustream mpira raha,Negative
19/01/2015,ttcl siwaelewi kabisa kabisa mpaka nikiwapigia wenyewe mtandao unasumbua halafu mnachelewa kupokea nimeandika twitter hamjibu inaonekana hamko concerned kutatua matatizo wateja hili bando mwisho mko wengi ttclcorporation,Negative
19/01/2015,eric bernard94 sms songesha itaamua,Neutral
20/01/2015,salimosaid piraa telecom1pesa hilo linawaponza,Neutral
20/01/2015,telecom2 mnampango tuzitupe laini zenu yaa leo siku pili ukimpigia mtu anakusikia wew humsikii ndio nin,Negative
20/01/2015,meddy telecom3 nenda ttcl nyumbani,Positive
21/01/2015,keddie d limuamala kanitumia kasema limekuja telecom1pesa tovuti wzrx5vqmb5,Neutral
21/01/2015,telecom3 wakala telecom3 money nina shda nataka kujua kamisheni ikitoka inaingia laa afu kingine nahitaji nijue kamisheni imetumwa jana bado,Neutral
21/01/2015,telecom3 huduma mtandao 4g italetwa lini,Neutral
22/01/2015,telecom3tz hongereni mtandao kwanza kuongoza zoezi usajili alama vidole,Positive
22/01/2015,mtandao telecom1 jamani iringa mtandao unasumbua telecom1tanzani,Negative
22/01/2015,mshambuliaji kwahiyo kitenge unanishauri deni langu songesha nisilipe,Neutral
